sram_size_mb,dram_bandwidth,sram_bandwidth,tokens_per_second,per_layer_time_ms,per_forward_time_ms,total_cycles,success
0.5,8,16,24.482613818692343,0.07091199999999999,163.38124799999997,6807552.0,True
0.5,8,32,24.541679232006434,0.07074133333333334,162.988032,6791168.0,True
0.5,8,64,24.541679232006434,0.07074133333333334,162.988032,6791168.0,True
0.5,8,128,24.541679232006434,0.07074133333333334,162.988032,6791168.0,True
0.5,8,256,24.541679232006434,0.07074133333333334,162.988032,6791168.0,True
0.5,16,16,36.67427144359321,0.04733866666666667,109.068288,4544512.0,True
0.5,16,32,48.965227637384686,0.035455999999999994,81.69062399999999,3403776.0,True
0.5,16,64,49.08335846401287,0.03537066666666667,81.494016,3395584.0,True
0.5,16,128,49.08335846401287,0.03537066666666667,81.494016,3395584.0,True
0.5,16,256,49.08335846401287,0.03537066666666667,81.494016,3395584.0,True
0.5,32,16,36.67427144359321,0.04733866666666667,109.068288,4544512.0,True
0.5,32,32,73.34854288718643,0.023669333333333334,54.534144,2272256.0,True
0.5,32,64,97.93045527476937,0.017727999999999997,40.84531199999999,1701888.0,True
0.5,32,128,98.16671692802574,0.017685333333333334,40.747008,1697792.0,True
0.5,32,256,98.16671692802574,0.017685333333333334,40.747008,1697792.0,True
0.5,64,16,36.67427144359321,0.04733866666666667,109.068288,4544512.0,True
0.5,64,32,73.34854288718643,0.023669333333333334,54.534144,2272256.0,True
0.5,64,64,125.05602509924447,0.013882666666666666,31.985664,1332736.0,True
0.5,64,128,141.4078337677382,0.012277333333333335,28.286976000000003,1178624.0,True
0.5,64,256,141.65397447055412,0.012255999999999998,28.237823999999996,1176576.0,True
0.5,128,16,36.67427144359321,0.04733866666666667,109.068288,4544512.0,True
0.5,128,32,73.34854288718643,0.023669333333333334,54.534144,2272256.0,True
0.5,128,64,125.05602509924447,0.013882666666666666,31.985664,1332736.0,True
0.5,128,128,148.5040298053528,0.011690666666666667,26.935296,1122304.0,True
0.5,128,256,148.5040298053528,0.011690666666666667,26.935296,1122304.0,True
1.0,8,16,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
1.0,8,32,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
1.0,8,64,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
1.0,8,128,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
1.0,8,256,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
1.0,16,16,44.33680650140742,0.039157333333333336,90.218496,3759104.0,True
1.0,16,32,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
1.0,16,64,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
1.0,16,128,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
1.0,16,256,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
1.0,32,16,44.33680650140742,0.039157333333333336,90.218496,3759104.0,True
1.0,32,32,88.67361300281485,0.019578666666666668,45.109248,1879552.0,True
1.0,32,64,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
1.0,32,128,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
1.0,32,256,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
1.0,64,16,44.33680650140742,0.039157333333333336,90.218496,3759104.0,True
1.0,64,32,88.67361300281485,0.019578666666666668,45.109248,1879552.0,True
1.0,64,64,131.49700397226152,0.013202666666666666,30.418943999999996,1267456.0,True
1.0,64,128,142.64716622845458,0.012170666666666665,28.041216,1168384.0,True
1.0,64,256,142.64716622845458,0.012170666666666665,28.041216,1168384.0,True
1.0,128,16,44.33680650140742,0.039157333333333336,90.218496,3759104.0,True
1.0,128,32,88.67361300281485,0.019578666666666668,45.109248,1879552.0,True
1.0,128,64,131.49700397226152,0.013202666666666666,30.418943999999996,1267456.0,True
1.0,128,128,148.5040298053528,0.011690666666666667,26.935296,1122304.0,True
1.0,128,256,148.5040298053528,0.011690666666666667,26.935296,1122304.0,True
2.0,8,16,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
2.0,8,32,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
2.0,8,64,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
2.0,8,128,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
2.0,8,256,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
2.0,16,16,46.43001473874388,0.037392,86.151168,3589632.0,True
2.0,16,32,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
2.0,16,64,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
2.0,16,128,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
2.0,16,256,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
2.0,32,16,46.43001473874388,0.037392,86.151168,3589632.0,True
2.0,32,32,92.86002947748776,0.018696,43.075584,1794816.0,True
2.0,32,64,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
2.0,32,128,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
2.0,32,256,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
2.0,64,16,46.43001473874388,0.037392,86.151168,3589632.0,True
2.0,64,32,92.86002947748776,0.018696,43.075584,1794816.0,True
2.0,64,64,136.0446487653676,0.012761333333333333,29.402112,1225088.0,True
2.0,64,128,142.64716622845458,0.012170666666666665,28.041216,1168384.0,True
2.0,64,256,142.64716622845458,0.012170666666666665,28.041216,1168384.0,True
2.0,128,16,46.43001473874388,0.037392,86.151168,3589632.0,True
2.0,128,32,92.86002947748776,0.018696,43.075584,1794816.0,True
2.0,128,64,136.0446487653676,0.012761333333333333,29.402112,1225088.0,True
2.0,128,128,148.5040298053528,0.011690666666666667,26.935296,1122304.0,True
2.0,128,256,148.5040298053528,0.011690666666666667,26.935296,1122304.0,True
4.0,8,16,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
4.0,8,32,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
4.0,8,64,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
4.0,8,128,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
4.0,8,256,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
4.0,16,16,47.81445848021936,0.03630933333333333,83.65670399999999,3485696.0,True
4.0,16,32,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
4.0,16,64,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
4.0,16,128,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
4.0,16,256,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
4.0,32,16,47.81445848021936,0.03630933333333333,83.65670399999999,3485696.0,True
4.0,32,32,95.62891696043872,0.018154666666666666,41.828351999999995,1742848.0,True
4.0,32,64,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
4.0,32,128,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
4.0,32,256,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
4.0,64,16,47.81445848021936,0.03630933333333333,83.65670399999999,3485696.0,True
4.0,64,32,95.62891696043872,0.018154666666666666,41.828351999999995,1742848.0,True
4.0,64,64,138.99267008255052,0.012490666666666669,28.778496000000004,1199104.0,True
4.0,64,128,142.64716622845458,0.012170666666666665,28.041216,1168384.0,True
4.0,64,256,142.64716622845458,0.012170666666666665,28.041216,1168384.0,True
4.0,128,16,47.81445848021936,0.03630933333333333,83.65670399999999,3485696.0,True
4.0,128,32,95.62891696043872,0.018154666666666666,41.828351999999995,1742848.0,True
4.0,128,64,138.99267008255052,0.012490666666666669,28.778496000000004,1199104.0,True
4.0,128,128,148.5040298053528,0.011690666666666667,26.935296,1122304.0,True
4.0,128,256,148.5040298053528,0.011690666666666667,26.935296,1122304.0,True
8.0,8,16,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
8.0,8,32,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
8.0,8,64,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
8.0,8,128,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
8.0,8,256,24.780818615509542,0.07005866666666667,161.415168,6725632.0,True
8.0,16,16,48.847664065626255,0.035541333333333334,81.887232,3411968.0,True
8.0,16,32,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
8.0,16,64,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
8.0,16,128,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
8.0,16,256,49.561637231019084,0.035029333333333336,80.707584,3362816.0,True
8.0,32,16,48.847664065626255,0.035541333333333334,81.887232,3411968.0,True
8.0,32,32,97.69532813125251,0.017770666666666667,40.943616,1705984.0,True
8.0,32,64,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
8.0,32,128,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
8.0,32,256,99.12327446203817,0.017514666666666668,40.353792,1681408.0,True
8.0,64,16,48.847664065626255,0.035541333333333334,81.887232,3411968.0,True
8.0,64,32,97.69532813125251,0.017770666666666667,40.943616,1705984.0,True
8.0,64,64,141.16254697889565,0.012298666666666666,28.336128,1180672.0,True
8.0,64,128,142.64716622845458,0.012170666666666665,28.041216,1168384.0,True
8.0,64,256,142.64716622845458,0.012170666666666665,28.041216,1168384.0,True
8.0,128,16,48.847664065626255,0.035541333333333334,81.887232,3411968.0,True
8.0,128,32,97.69532813125251,0.017770666666666667,40.943616,1705984.0,True
8.0,128,64,141.16254697889565,0.012298666666666666,28.336128,1180672.0,True
8.0,128,128,148.5040298053528,0.011690666666666667,26.935296,1122304.0,True
8.0,128,256,148.5040298053528,0.011690666666666667,26.935296,1122304.0,True
